"WeekDate","Site","AEddyDist0","CEddyDist0","Chl0","EKE0","FSLE0","Sal0","SSH0","Temp0","VelAsp0","VelMag0","Md","Zc","Me","Kg","Gg","Dd","Gm","Mb","Pm","Mm"
2016-05-01,"HZ",69.4455532857143,237.866297285714,0.644872588571429,74.8869138571429,-0.0569958777142857,33.26942,-0.704666672,9.14907828571429,269.251197897143,0.261342890428571,0,13,0,0,137,596,3,73,405,5
2016-05-08,"HZ",120.227257,258.930533857143,1.19815920714286,144.948954428571,-0.0784986405714286,32.8731971428571,-0.740645437471429,9.26428128571428,141.20202142,0.205266752,0,10,0,1,291,606,5,31,335,4
2016-05-15,"HZ",52.142196,249.357217857143,1.04842646,388.44932,-0.106428411428571,32.6849971428571,-0.713356515414286,8.49652171428571,200.267664712857,0.286526273714286,0,3,0,1,47,597,32,41,381,4
2016-05-22,"HZ",79.5980868571429,178.420404714286,1.48382240285714,33.537253,-0.123365743285714,32.4456328571429,-0.656013028042857,10.2190087142857,214.430421538571,0.175730026857143,0,9,0,2,32,364,21,38,136,6
2016-05-29,"HZ",138.461605571429,133.759481285714,1.20493258714286,41.0649685714286,-0.126154774571429,32.6568428571429,-0.6459822256,11.6386665714286,239.970477501429,0.147161918714286,0,23,0,1,93,456,3,50,193,6
2016-06-05,"HZ",125.909061142857,167.066527571429,1.26335373142857,143.735364285714,-0.0738371761428571,32.9583028571429,-0.645008867257143,11.2306138571429,199.241792832857,0.221430694571429,0,27,0,0,80,512,7,31,223,0
2016-06-12,"HZ",138.166765142857,247.106092428571,0.99288345,101.642688571429,-0.0581238668571429,33.3282728571429,-0.683294748985714,11.7273274285714,200.005428517143,0.115546150285714,0,19,0,1,97,365,21,27,304,0
2016-06-19,"HZ",111.940740714286,217.728161571429,0.51683222,237.27277,-0.0434436292857143,33.2489414285714,-0.658658614414286,14.6772724285714,168.48400496,0.221996377714286,0,19,0,0,185,316,8,30,378,2
2016-06-26,"HZ",132.563209571429,195.338445142857,0.465755041428571,76.3438385714286,-0.0420094764285714,32.9531957142857,-0.6638479588,15.751552,122.116210902857,0.162760718857143,0,8,0,3,102,392,6,15,420,0
2016-07-03,"HZ",126.534779,213.495448857143,0.376612808571429,43.6007488571429,-0.0626486007142857,32.96005,-0.647026074114286,16.7914725714286,205.419046501429,0.162888170142857,0,19,0,2,177,333,7,11,396,0
2016-07-10,"HZ",109.499990571429,225.864421857143,0.20756085,17.6216408428571,-0.0529582731428571,32.7421528571429,-0.591837013785714,18.3089768571429,189.302665507143,0.124038895142857,0,28,0,0,131,254,7,14,159,1
2016-07-17,"HZ",122.345180571429,303.179043142857,0.246808677142857,6.14314742857143,-0.0459749481428571,32.7066414285714,-0.616018169557143,19.0812268571429,185.542833534286,0.100824006428571,0,20,0,1,133,152,26,13,136,0
2016-07-24,"HZ",133.551865285714,168.078819571429,0.3065701,27.6737108571429,-0.0794413192857143,32.6798442857143,-0.597618398342857,19.3936942857143,183.894531862857,0.109798374285714,0,17,0,2,173,358,11,27,251,6
2016-07-31,"HZ",126.564062857143,217.778846571429,0.206254372857143,42.5810347142857,-0.0766092882857143,32.8958571428571,-0.573478471614286,20.96456,212.991340687143,0.151814631714286,0,27,0,3,149,305,11,70,80,0
2016-08-07,"HZ",136.626174,197.240372285714,0.364233662857143,155.797321428571,-0.075038551,32.8679142857143,-0.546540141057143,20.5483861428571,49.7770865242857,0.204485360857143,0,35,0,2,122,255,5,44,53,0
2016-08-14,"HZ",119.312283571429,263.002547857143,0.325567304285714,167.500847142857,-0.183564092857143,33.7288571428571,-0.547242460857143,21.3335912857143,108.889696635714,0.238721659714286,0,16,0,1,132,143,7,48,118,1
2016-08-21,"HZ",103.929723714286,265.787818857143,0.248807208571429,127.355382857143,-0.172831282571429,34.84865,-0.548699972157143,23.2325912857143,120.487350281429,0.160738500285714,0,49,0,2,182,235,4,11,115,1
2016-08-28,"HZ",82.6622701428571,235.826303714286,0.173544327142857,856.333242857143,-0.282987026,35.07771,-0.461489862542857,23.7347557142857,63.92891223,0.284786872285714,0,6,0,3,67,149,9,11,127,0
2016-09-04,"HZ",67.1893774285714,126.755279571429,0.149741735714286,2022.11628571429,-0.171959376,35.2520914285714,-0.427343556971429,24.8577428571429,75.6548343042857,0.517042699428571,0,1,0,3,46,116,19,17,73,0
2016-09-11,"HZ",109.865388714286,164.958759857143,0.14570245,982.419142857143,-0.176225182571429,34.6863728571429,-0.4817023641,24.0434921428571,69.796826,0.390546704857143,0,11,0,0,119,110,98,14,51,2
2016-09-18,"HZ",142.458995285714,232.087103714286,0.245262464285714,191.7022,-0.146195142857143,34.2150457142857,-0.4908852128,23.0276977142857,48.6964554357143,0.209056181857143,0,16,0,0,173,182,3,34,88,0
2016-09-25,"HZ",147.665162714286,250.615159,0.351943792857143,139.461518571429,-0.274805703428571,34.3359642857143,-0.484492386042857,21.3813202857143,166.417492768571,0.225416104857143,0,4,0,2,194,250,26,54,36,0
2016-10-02,"HZ",121.363012571429,36.1330902857143,0.581488925714286,24.5145784285714,-0.0736276395714286,35.1055614285714,-0.532781140257143,21.6834645714286,254.385965774286,0.172640033,0,3,0,4,141,210,15,44,293,0
2016-10-09,"HZ",108.086671285714,24.5857002857143,0.664818487142857,12.3284832857143,-0.140085894,34.40782,-0.508883146928571,19.3351795714286,249.037291432857,0.246870480285714,0,6,0,2,222,417,48,25,455,0
