"WeekDate","Site","Chl0","EKE0","FSLE0","SSH0","Temp0","Temp200","Temp400","Temp700","Sal0","Sal200","Sal400","Sal700","VelMag0","VelAsp0","CEddyDist0","AEddyDist0","Md","Zc","Me","Kg","Gg","Mb","Pm","Mm","Gm","Dd"
2018-11-18,"WC",0.946157247142857,288.9064689,-0.0563229792857143,-0.666637242857143,13.4038065714286,13.4170265714286,13.463843,13.9851384285714,34.3189942857143,34.3314285714286,34.3761214285714,34.97842,0.427419617571429,220.036713442857,180.095356285714,264.826744714286,0,9,0,0,4,16,22,0,54,490
2018-11-25,"WC",0.656798495714286,496.448037471429,-0.0452994891428571,-0.633296057142857,12.935904,12.9407138571429,12.9450164285714,13.777857,34.2189457142857,34.22395,34.2465157142857,34.82224,0.468345564428571,210.170080028571,181.671695857143,257.412669142857,0,5,0,0,3,16,30,2,112,340
2018-12-02,"WC",0.61808123,79.2118211,-0.052385424,-0.605363728571429,12.320045,12.3345102857143,12.3838435714286,12.9563218571429,34.3381928571429,34.34204,34.36224,34.6402728571429,0.264125889428571,201.953043542857,127.094241,256.880019571429,0,22,0,0,5,36,74,0,160,561
2018-12-09,"WC",0.536559698571429,275.071103985714,-0.0512416574285714,-0.6331236,12.8525688571429,12.849078,12.9002284285714,13.8539577142857,34.2516028571429,34.2606814285714,34.3237757142857,34.8671028571429,0.425632439142857,219.542430714286,114.390459571429,275.932575428571,0,65,0,0,17,15,299,4,16,367
2018-12-16,"WC",0.455038167142857,239.339293157143,-0.0628019982857143,-0.678576828571429,12.7086457142857,12.7097505714286,12.7239941428571,13.4922991428571,34.2987128571429,34.3147771428571,34.3706885714286,34.8053757142857,0.423914960571429,220.773505285714,114.459115285714,267.357533857143,0,60,0,0,11,41,106,8,23,316
2018-12-23,"WC",0.384153857142857,30.6909031428571,-0.0544226191428571,-0.6994264,12.00545,12.0016902857143,12.0490428571429,12.3514288571429,34.4477328571429,34.4515742857143,34.4749957142857,34.6166371428571,0.240733119142857,234.944061,104.120177142857,262.581215571429,0,53,0,0,29,28,133,24,3,528
2018-12-30,"WC",0.629585564285714,128.432689785714,-0.046058465,-0.713249085714286,11.6224198571429,11.6012872857143,11.7324684285714,12.5305118571429,34.3998057142857,34.4090642857143,34.4601885714286,34.8058385714286,0.359175668142857,199.595175071429,132.332556428571,245.393948285714,0,45,0,0,19,8,253,30,9,354
2019-01-06,"WC",0.569087707142857,95.8012036428571,-0.047959761,-0.661182214285714,11.4663317142857,11.5064398571429,11.5450764285714,11.9537672857143,34.5833814285714,34.58786,34.6091142857143,34.7820785714286,0.364306961571429,206.883955285714,175.051780428571,390.754575857143,0,22,0,0,24,26,413,10,31,851
2019-01-13,"WC",0.394838688571429,65.9929183428571,-0.0575302501428571,-0.613089014285714,11.4424217142857,11.4375654285714,11.5663854285714,12.187646,34.46188,34.4748685714286,34.5185828571429,34.74197,0.179738634,183.1159405,123.598111571429,281.561161428571,0,51,0,0,23,16,357,0,16,463
2019-01-20,"WC",0.386678604285714,415.317433485714,-0.0569979464285714,-0.673808085714286,11.3466567142857,11.3778624285714,11.4023148571429,11.5980237142857,34.7806414285714,34.7853157142857,34.7948114285714,34.8679742857143,0.183847992142857,140.296188757143,157.917261428571,257.982394142857,0,29,0,0,32,16,53,2,0,576
2019-01-27,"WC",0.409328562857143,179.865084771429,-0.0664448285714286,-0.706678385714286,10.3061087142857,10.315457,10.4006778571429,10.7124204285714,34.6317242857143,34.64246,34.6657242857143,34.76921,0.153394732857143,190.937784271429,232.783564714286,264.225902285714,0,26,0,0,139,15,180,4,0,604
2019-02-03,"WC",0.712635061428571,284.256049357143,-0.0833698651428571,-0.689546528571429,11.005204,10.9700084285714,11.1622144285714,12.0149774285714,34.2771914285714,34.2901285714286,34.4273257142857,34.8161371428571,0.234982466857143,186.778012242857,127.255811571429,310.751534714286,0,30,0,0,77,49,161,2,0,675
